date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:09:01	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Feb%202017%2010:09:04%20GMT	http://savvy.themedelight.com/robots.txt		(from )
11:09:01	6192/6192	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Mar%202015%2014:37:17%20GMT	http://savvy.themedelight.com/	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/index.html	(from )
11:09:02	107194/107194	---MCZ	200	added ('OK')	text/css	date:Sun,%2029%20Mar%202015%2014:37:16%20GMT	http://savvy.themedelight.com/assets/css/basic-full.css	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/assets/css/basic-full.css	(from http://savvy.themedelight.com/)
11:09:03	32384/32384	---MCZ	200	added ('OK')	text/css	date:Sun,%2029%20Mar%202015%2014:37:16%20GMT	http://savvy.themedelight.com/assets/css/main-skin-style5.css	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/assets/css/main-skin-style5.css	(from http://savvy.themedelight.com/)
11:09:03	457/457	---MCZ	200	added ('OK')	text/css	date:Sun,%2029%20Mar%202015%2014:37:16%20GMT	http://savvy.themedelight.com/assets/css/envato-frame-fix.css	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/assets/css/envato-frame-fix.css	(from http://savvy.themedelight.com/)
11:09:08	27805/27805	---MC-	200	added ('OK')	text/javascript	date:Wed,%2028%20Sep%202016%2020:19:01%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/nadra/Desktop/cv/cvN/www.google-analytics.com/analytics.js	(from http://savvy.themedelight.com/)
11:09:08	6192/6192	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Mar%202015%2014:37:17%20GMT	http://savvy.themedelight.com/index.html	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/index-2.html	(from http://savvy.themedelight.com/)
11:09:09	18063/18063	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Mar%202015%2014:37:17%20GMT	http://savvy.themedelight.com/resume.html	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/resume.html	(from http://savvy.themedelight.com/)
11:09:10	8388/8388	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Mar%202015%2014:37:17%20GMT	http://savvy.themedelight.com/services.html	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/services.html	(from http://savvy.themedelight.com/)
11:09:10	10110/10110	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Mar%202015%2014:37:17%20GMT	http://savvy.themedelight.com/portfolio.html	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/portfolio.html	(from http://savvy.themedelight.com/)
11:09:11	14126/14126	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Mar%202015%2014:37:17%20GMT	http://savvy.themedelight.com/blog.html	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/blog.html	(from http://savvy.themedelight.com/)
11:09:12	6861/6861	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Mar%202015%2014:37:17%20GMT	http://savvy.themedelight.com/contact.html	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/contact.html	(from http://savvy.themedelight.com/)
11:09:16	6634/6634	---M--	200	added ('OK')	image/png	etag:%2254f069a3-19ea%22	http://savvy.themedelight.com/uploads/home/sign.png	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/uploads/home/sign.png	(from http://savvy.themedelight.com/)
11:09:16	30915/30915	---M--	200	added ('OK')	image/jpeg	etag:%2255031d56-78c3%22	http://savvy.themedelight.com/uploads/home/home-image.jpg	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/uploads/home/home-image.jpg	(from http://savvy.themedelight.com/)
11:09:21	74789/74789	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2029%20Mar%202015%2014:37:17%20GMT	http://savvy.themedelight.com/assets/js/basic-full.js	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/assets/js/basic-full.js	(from http://savvy.themedelight.com/)
11:09:21	284184/284184	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2029%20Mar%202015%2014:37:15%20GMT	http://savvy.themedelight.com/assets/jslib/jquery-1.11.2.js	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/assets/jslib/jquery-1.11.2.js	(from http://savvy.themedelight.com/)
11:09:21	13182/13182	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2024%20Apr%202015%2010:42:47%20GMT	http://savvy.themedelight.com/assets/js/Template.js	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/assets/js/Template.js	(from http://savvy.themedelight.com/)
11:09:21	1495/1495	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2029%20Mar%202015%2014:37:15%20GMT	http://savvy.themedelight.com/assets/jslib/jquery.cookie.js	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/assets/jslib/jquery.cookie.js	(from http://savvy.themedelight.com/)
11:09:22	2353/2353	---MCZ	200	added ('OK')	application/x-javascript	date:Sun,%2029%20Mar%202015%2014:37:16%20GMT	http://savvy.themedelight.com/assets/js/StylePanel.js	C:/Users/nadra/Desktop/cv/cvN/savvy.themedelight.com/assets/js/StylePanel.js	(from http://savvy.themedelight.com/)
